PartNo,Name,PlacedLayer,X,Y,Angle,ECADAngle,PartName,ECADPartName,PackageName,Fixed,width,height,left,top,pins
15,L03L,TOP,22.5,48.8,90,90,EAV62774101,EAV62774101,optic-smd-2pin-1608-0.6h,FALSE,0.9000000000000001,2.3,22.0060546875,47.68250883165143,"['(22.4560546875, 48.08250883165143)', '(22.4560546875, 49.58250883165143)']"
15,L05L,TOP,33.3,48.8,90,90,EAV62774101,EAV62774101,optic-smd-2pin-1608-0.6h,FALSE,0.9000000000000001,2.3,32.8751953125,47.68250883165143,"['(33.3251953125, 48.08250883165143)', '(33.3251953125, 49.58250883165143)']"
22,R01,TOP,12.8,29.7,90,90,0RJ1001C677,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000002,2.3,12.4173828125,28.56072642599424,"['(12.8173828125, 28.96072642599424)', '(12.8173828125, 30.46072642599424)']"
22,R02,TOP,19.0,29.7,90,90,0RJ1001C677,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000002,2.3,18.5697265625,28.56072642599424,"['(18.9697265625, 28.96072642599424)', '(18.9697265625, 30.46072642599424)']"
22,R03,TOP,24.9,29.9,90,90,0RJ1001C677,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000002,2.3,24.5169921875,28.766336989495933,"['(24.9169921875, 29.16633698949593)', '(24.9169921875, 30.66633698949593)']"
22,R04,TOP,31.1,29.9,90,90,0RJ1001C677,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000002,2.3,30.6693359375,28.766336989495933,"['(31.0693359375, 29.16633698949593)', '(31.0693359375, 30.66633698949593)']"
23,R05,BOTTOM,21.0,41.2,270,270,0RJ1001C677_B,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,20.6205078125,40.07491798208889,"['(21.0205078125, 40.47491798208889)', '(21.0205078125, 41.97491798208889)']"
23,R06,BOTTOM,16.1,41.2,270,270,0RJ1001C677_B,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,15.6986328125,40.07491798208889,"['(16.0986328125, 40.47491798208889)', '(16.0986328125, 41.97491798208889)']"
23,R07,BOTTOM,23.7,41.2,270,270,0RJ1001C677_B,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,23.2865234375,40.07491798208889,"['(23.6865234375, 40.47491798208889)', '(23.6865234375, 41.97491798208889)']"
23,R08,BOTTOM,21.0,37.1,90,90,0RJ1001C677_B,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000002,2.3,20.6205078125,35.96270671205509,"['(21.0205078125, 37.862706712055086)', '(21.0205078125, 36.362706712055086)']"
23,R09,BOTTOM,25.9,37.1,90,90,0RJ1001C677_B,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000002,2.3,25.5423828125,35.96270671205509,"['(25.9423828125, 37.862706712055086)', '(25.9423828125, 36.362706712055086)']"
23,R10,BOTTOM,28.6,41.2,270,270,0RJ1001C677_B,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,28.2083984375,40.07491798208889,"['(28.6083984375, 40.47491798208889)', '(28.6083984375, 41.97491798208889)']"
23,R11,BOTTOM,18.1,41.2,270,270,0RJ1001C677_B,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,17.7494140625,40.07491798208889,"['(18.1494140625, 40.47491798208889)', '(18.1494140625, 41.97491798208889)']"
23,R12,BOTTOM,31.3,37.1,90,90,0RJ1001C677_B,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000002,2.3,30.8744140625,35.96270671205509,"['(31.2744140625, 37.862706712055086)', '(31.2744140625, 36.362706712055086)']"
23,R13,BOTTOM,55.9,48.4,270,270,0RJ1001C677_B,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,55.4837890625,47.27128770464805,"['(55.8837890625, 47.67128770464805)', '(55.8837890625, 49.17128770464805)']"
23,R14,BOTTOM,57.7,48.4,270,270,0RJ1001C677_B,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,57.3294921875,47.27128770464805,"['(57.7294921875, 47.67128770464805)', '(57.7294921875, 49.17128770464805)']"
23,R15,BOTTOM,59.4,48.4,270,270,0RJ1001C677_B,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,58.9701171875,47.27128770464805,"['(59.3701171875, 47.67128770464805)', '(59.3701171875, 49.17128770464805)']"
23,R16,BOTTOM,61.0,48.4,270,270,0RJ1001C677_B,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,60.6107421875,47.27128770464805,"['(61.0107421875, 47.67128770464805)', '(61.0107421875, 49.17128770464805)']"
23,R17,BOTTOM,68.2,48.4,270,270,0RJ1001C677_B,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,67.7884765625,47.27128770464805,"['(68.1884765625, 47.67128770464805)', '(68.1884765625, 49.17128770464805)']"
23,R18,BOTTOM,66.5,48.4,270,270,0RJ1001C677_B,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,66.1478515625,47.27128770464805,"['(66.5478515625, 47.67128770464805)', '(66.5478515625, 49.17128770464805)']"
23,R19,BOTTOM,64.7,48.4,270,270,0RJ1001C677_B,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,64.3021484375,47.27128770464805,"['(64.7021484375, 47.67128770464805)', '(64.7021484375, 49.17128770464805)']"
23,R20,BOTTOM,63.1,48.4,270,270,0RJ1001C677_B,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,62.6615234375,47.27128770464805,"['(63.0615234375, 47.67128770464805)', '(63.0615234375, 49.17128770464805)']"
24,R21,TOP,54.4,52.9,270,270,0RH1002C622,0RH1002C622,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,54.0482421875,51.794720101685236,"['(54.4482421875, 53.694720101685235)', '(54.4482421875, 52.194720101685235)']"
24,R22,TOP,56.3,52.9,270,270,0RH1002C622,0RH1002C622,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,55.8939453125,51.794720101685236,"['(56.2939453125, 53.694720101685235)', '(56.2939453125, 52.194720101685235)']"
24,R23,TOP,58.1,52.9,270,270,0RH1002C622,0RH1002C622,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,57.7396484375,51.794720101685236,"['(58.1396484375, 53.694720101685235)', '(58.1396484375, 52.194720101685235)']"
24,R24,TOP,60.0,52.9,270,270,0RH1002C622,0RH1002C622,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,59.5853515625,51.794720101685236,"['(59.9853515625, 53.694720101685235)', '(59.9853515625, 52.194720101685235)']"
24,R25,TOP,67.2,52.9,270,270,0RH1002C622,0RH1002C622,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,66.7630859375,51.794720101685236,"['(67.1630859375, 53.694720101685235)', '(67.1630859375, 52.194720101685235)']"
24,R26,TOP,65.3,52.9,270,270,0RH1002C622,0RH1002C622,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,64.9173828125,51.794720101685236,"['(65.3173828125, 53.694720101685235)', '(65.3173828125, 52.194720101685235)']"
24,R27,TOP,63.5,52.9,270,270,0RH1002C622,0RH1002C622,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,63.0716796875,51.794720101685236,"['(63.4716796875, 53.694720101685235)', '(63.4716796875, 52.194720101685235)']"
24,R28,TOP,61.6,52.9,270,270,0RH1002C622,0RH1002C622,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,61.2259765625,51.794720101685236,"['(61.6259765625, 53.694720101685235)', '(61.6259765625, 52.194720101685235)']"
23,R29,BOTTOM,70.2,48.4,270,270,0RJ1001C677_B,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,69.8392578125,47.27128770464805,"['(70.2392578125, 47.67128770464805)', '(70.2392578125, 49.17128770464805)']"
23,R30,BOTTOM,71.9,48.4,270,270,0RJ1001C677_B,0RJ1001C677,res-smd-2pin-1608-0.45h,FALSE,0.8000000000000005,2.3,71.4798828125,47.27128770464805,"['(71.8798828125, 47.67128770464805)', '(71.8798828125, 49.17128770464805)']"
